Type,"Attachments (Downloadable, Expand)",Category,Full Prompt,ID
"Midjourney 🎨 futuristic, Neon, Person","metricsmule_Create_a_dynamic_and_eye-catching_YouTube_thumbna_13d38dac-c4db-421e-8347-e45e31df223a_0.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/-GX4bgi-up3wQV6-mNISDw/ct_RiRM7pCtwply8j_OgtM0Y462yvuUfrF7Iqf0ri6PhwYi_TZXIjPRfmTqdMQOkgA9oD-BtFQ18edez12eT7q9_YZZvlArhqRplHClzt9YouKBke9qvETGV6KesYamdyfkMiANhbrJhdJm734ZE-500-CF70QJ4OjodQukEUX7hDagwJMdLQvbQOGUZAT1lTFiG18ieX89mwlTL3eRzxmC2aAKMOmNAQSyPqc-XdWDy3sdZwyq_48i9X54vkm_mWqFxvDqKcVb6E2yZi4rGNQ/LzY82lm6BelS6MQDQe628nj9H3Mq6IuO_DUE4CHzHFs),metricsmule_Create_a_dynamic_and_eye-catching_YouTube_thumbna_13d38dac-c4db-421e-8347-e45e31df223a_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/pn4iyfhS8yoUMrpd4I09ig/gjGiBiKlicxp4aX8mFUrileBb-H8flRZAbWKtLfpSzd3u__0nplwpAg0rHi-wvJTWRIbyaV3AvDlFU1GKDDS8Wt6qE3jalNZi5ZKNp6CjOC-L_GI8ZZW0JJh-W5Wljc-rsIM5pxCuKScKkXYCWND8s66o2pRemgj75j5oa47TwBJJETMs7s_ODTwMXgLs4r8wFJhWVWe_cd1Z7oJWxdwGOXplBQvwcK9lvH7GvqraqISI_9vmpyrEK31xmfb7MyreaqH3Z_BLF92NKL9-MVvow/P6n-9wrdLgIp5c5BbZnFAnRx9WoVbncPcPHUP-MKW1Y),metricsmule_Create_a_dynamic_and_eye-catching_YouTube_thumbna_13d38dac-c4db-421e-8347-e45e31df223a_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/KLBvpL_QoMty360Jj-CvRA/XQhNXlzY1keIq9oSOxfI2o3207eRuyPbIElBTJkw-ETGtEAF39oKqbY0qLKIt6R_5kqupRDtpHaLhLYRxaZde_ONMekpkkLAXOK5gJ3xk0ac-rsfckyPwfrEguA-Zy5HBbXpU4vlgPn51eCcP2tCeTmwJJvizxfjEvazzBiOi1Bsii5sZJil_ErHEgQfnCX6nnmu_P3KsqwARe9X1GIqqPwam43qtJk6WeanPwJfwbRJtP5yldN4Kyo5GOo6HsEp3NLIzvgWCRqxwyP_13FpTg/8ODYmJ040kshNhyaeczh2Ca5ZBO66qr6JpF4NXDtO2E)",Midjourney,"Create a dynamic and eye-catching YouTube thumbnail featuring a futuristic cityscape background with neon lights and vibrant colors. Include a central beautiful woman of a futuristic, cyberpunk-style character with glowing eyes, wearing dark, sleek clothing. The overall design should be visually striking and convey a high-tech, futuristic theme.",702
"Midjourney 🎨 futuristic, Neon, Person",metricsmule_Create_a_dynamic_and_eye-catching_YouTube_thumbna_caa31ebf-4b0c-4e21-9ad0-4f2301cceed0_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/UuEpNJAwoRfCY7TTY_Rnfw/Nkd2xYk0kD5WEwkk0OySxjoK9sKQxnXTr1dp50r18xx1y_XHC10x_eiqz_qs7YwGi54Q7YzqxSMva0CDJ6pA0KMtSrDnAOB3OM7bfDHtnurjKrX1Xt0PTtCDu58GUm6zVDspjxcCV5w4HNaf7Ce66UuAco7IciLlEdIp3lwwNyYN9xYBmZNnIE-hJl8yBVo-tG0p5tXtwC_-IBUOt8VBGm3aE-RoswlMNBzfAfP7Pt7friqgqQgzl5FgTLma9KE08edzVBlXYbcxgokRhthmkg/yLKn4e_EVL71K73uklXhnGY5K-5mxNTRXRRMAvxDcHg),Midjourney,"Create a dynamic and eye-catching YouTube thumbnail featuring a futuristic cityscape background with neon lights and vibrant colors. Include a central figure of a futuristic, cyberpunk-style character with glowing eyes, wearing dark, sleek clothing. The overall design should be visually striking and convey a high-tech, futuristic theme.",701
"Midjourney 🎨 futuristic, Person",metricsmule_a_beautiful_woman_instagram_model_in_a_wizard-lik_32ca050a-f6f8-477d-be18-7538e9650d6d_0.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/2wQJP515jxSn-goRKaWmXg/bhL182mXqd7Hzv1o1a3TaSqvQcCN7jOHFUvG3cx1jR1vi2R1na3ZcExXcTthTbM-k8x7Y9QC7Nejwvclwkkslpgu6c4OIq4E5vwFnkAQ4AWKzFgQ9VhZwxYPN37ii4CQ1VNxjSkgzQAeF070lLLnKh32mZBp--LScK_yrO9yM0BE-TmVI5T6zh-_9xcWMeQmPPEnwAker-yBkZN6cyWFqrHWQZ1EpvA7Nx3fQH7Z-QBg3zm0FqELqx18SPEuA4cQAz2P_0jQvyk8jEzMZaKVzA/oV2Pj8CTIPbH0Zt5kxZIPNsFKEwNe81uUSXhPn4Dl-o),Midjourney,"a beautiful woman, instagram model in a wizard-like robe, dramatically pointing at floating, glowing AI",699
"Midjourney 🎨 Cinematic, Person, Photorealistic",metricsmule_A_beautiful_woman_instagram_model_holding_her_fin_6f6e5bd4-b390-42dc-b269-1050618b6664_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/nGeCw59ROYO_gnVQ4lIZoQ/JxwtxgCk6foPQyIGLkAH_Bne49um7CJ584Q2k-jXzMPYymvyp0hr6maVgeulqA05vJyGZ90v2zYcXn1YblRqgQ_gW08Pq4n2Z29KO1co80zhcOY1_shEqzScXSjWrGOnuFbZ8xLO-zAE7Cxb3IAOKVQwI-KZGxRoD2BsM3tWIPk_hd8wMUe6sS9aUJ3Hfhjy6TJpO-K7m0PHWDsqkuOm_TZQg-meMXxQh3uCOs6h9Ye5Z4R9MgNbheJrIDyw_FEaFBkl-LncEDJR2IRF5apGEg/kl5MPKniaDyCSz2AfC4Uap9nAK3tcBg_kLF2oxAbR4s),Midjourney,"A beautiful woman, instagram model holding her finger to her lips in a ""shh"" gesture, symbolizing a secret",700
"Midjourney 🎨 Cinematic, Person","metricsmule_Close-up_of_an_eye_with_binary_code_or_AI-related_f4c13cc8-bcc5-4fbb-8d46-ce2290c6eda2_0.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/Wpd6pIm5xXEPe37AeYXjcQ/uuyd23W6q45L0FmPY-yEmPnCYr1ZkSeQAWq3bJJhgi7Twy2HiWzfguUPpBEDXnL6p9dh-is8ZOzknlkW5tB1J73wG4ox4SlDE6BwSmQ0lC5VnWZ151yHNcgagSheJdLoBOqfw0IQtNKVb2hwsqS9UpqWbFfKpau0ZeW3UTe4vEnwHTp12MYQQQuIr8ia-Z8NeSSw0zdISYa8xzfbjIywcIy_q5rdS563qrxH380jv6fpA72vmI39AdZkM6zO6YV_7bnXxFjMChHN3C_ouO6nfQ/lfazOVpIpZRkdd5bgXmC4w3pezGgSVHo5bz8qmDtwdA),metricsmule_Close-up_of_an_eye_with_binary_code_or_AI-related_f4c13cc8-bcc5-4fbb-8d46-ce2290c6eda2_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/2h3LMQ67dJFwBz5RpCeHdQ/bvX13C8OCItqelSwH7tD8GBfBtZp1oW4qLIbfTdWkPBfBdv6p3mk2ib8f7nC5Y-qagV2xVQlS4c8weUWp_5rDijzkZt2eimKVRcLCwWr256xctuSLJGSCq9bNSAA_z0Fg08pXov2coDzxQ9S8KgpAnm06BEpeMZYuT79tXryXB1Ahe7yiEU9RV2V5YzW566oQcUhQwbdN5J7UbJIO3M5JlIoHBFbMS3NiCLCxqfqWP8xoQglMktUFby8Dz7MgdcSvoh_b5lRNC7rtyfuGKmujA/eKwEvnHG3FZAN1Dx5mGaeoveuO7LASS2CLER3KkBJuQ),metricsmule_Close-up_of_an_eye_with_binary_code_or_AI-related_f4c13cc8-bcc5-4fbb-8d46-ce2290c6eda2_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/B-V3i56-B7UUMCSau0wPvA/vWmGkkBSBLZjYeyCEb9ppAkoK8_4MHq0k-amRgwDCQaWwgqZj1wIdBlHz-XonSvS85U3zLByIpvDPvY4GR4JfdFrufxAT7nLPYxeR5iq6fhsGZFmeM3cX3yvnUV3HpuLLWpDh1raasNiNA960Ezq9F35YRXHvJBEwTbanDhq2X4m5PUq2iJk9SLHyPyCW3PsjCL9aXg9Q6zeryjmYrG-UGOH_0CWZ4Gy58E43fIigm206I_AEEkABdjruUgzPVDePDb3G64WsxCXhs3zzrMzfQ/DQztjK7xVAYmyUsbtVf0MD0qemFx-HS6HKAjKNmEzIQ)",Midjourney,Close-up of an eye with binary code or AI-related symbols reflected in the iris ar 16:9,698
"Midjourney 🎨 fantasy, Product","metricsmule_A_hand_holding_a_glowing_key_with_5_locks_in_the__36cdbcf3-6ee8-4e34-9f4e-5f27ad231636_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/BahAd26xClviiA90Fy77JA/VAOknNh4iDkneF6GVg8WjdHBVXiSSMzhwbWRCJ3zCmzfBdUk1C7ac1sbSzUo74Q4XQWHI_6BxBQt0DBgJ_rQR0EVBlnRqlB8gTNY302LA_n53gteENzg8aj-CDh7z0E6NcyAdlmobmDKWYDqgccZnp-_2oT7REeS1uW84QRZA5h8cIyUlZAByXSzqvB7MoG-9fl6x_rlYPqhXD_5ORcgCMCoVtUZ-ok3xZidIXU_6eK3s4SBLVeFom7ptr8J_yz3W5DSi2mnNLNhOWhnzFm9GQ/zoTQpEVysXqkWi1g6neHi-wM51Q5l79KZG8Zl3hppls),metricsmule_A_hand_holding_a_glowing_key_with_5_locks_in_the__36cdbcf3-6ee8-4e34-9f4e-5f27ad231636_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/LCENfdNmKjlXOD6GQEsXGw/r-rM0LhTlFgcVOmS13PdzVFCJJ3DUi6bVwS19YSEzWs4UbpkFogHFqUlJ5itRiucOuS04RTaq5TykuCxYtgVsV1QPE9JU9wUrEHqwU0t1xZxqXWB7CQZ38ykHMOR700d_-_QU7qy0jmlU9lWkU4nrymytJCNanTlyZ-cExYqzR-hLvWzRPPMHOzDi_N5edmIdmmXoJJqY0z4TI4bJoGQOhvdsoX3CdCw2pAKCiCXb0U3zgmqKGYYjcbeGLVWqO00NKUygQoet2r6N0hxHuVbPw/SsMTyyH19rG3ndFaj06ztahiG7qiC3nBXgBoBdSp__I),metricsmule_A_hand_holding_a_glowing_key_with_5_locks_in_the__36cdbcf3-6ee8-4e34-9f4e-5f27ad231636_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/MN49bOBoQddBCiVwDQzReQ/0m4JaH1VK4o1TxoM4LSqIrwZvQRQHG8YSljlqQRfQfTCyTS2Vn8mN5NRuiZ4hIXcHUR9Ui0ZI-pFp6AZPkYhcshPINPV7uJTug4GM6rmFH-YClhnhcbcaGWXRa33K0PxJaZ725LByKAe3BnRrMuUcqx2PiwKPJgL0xf5Wa3An466QGDKGnisXbLoh9QbR1TkDHBGAxxBCTspmLJvujlkarfTm6P1ywgCfQxzSaRNPUjvIoa5F6YEGmbnw4tIr6z-YK1jv-D03SKPdjLktxGLGA/qMm99Qc_w5WBDFwrNukmcPSKqTDc5OrW0n3OHaSpf5g)",Midjourney,"A hand holding a glowing key, with 5 locks in the background opening simultaneously",697
"Midjourney 🎨 Cinematic, Person",metricsmule_a_beautiful_woman_instagram_model_holding_a_smart_fcc61595-deb8-4227-845f-ba0cbcf058a5_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/YWG3zQMrpL68cdbUdAvsHQ/jKJgOgRTFPnqzpoSWYKn99adtttqC90q2K-D3rdFsaRcb40M1Z7DBPnqymQunIuccMQiyGQycv8r51in1Ne0xH8OuG097UFD0-PAVBjv24TA8F5XzPQT9lXlSE4ai_QIsfU1loQHUdKg4mIch-UmrD-2C8WC6MPZKRYSOyTtEvnc3a1o056FS11paS4UgMLEGI_tyz3dxblwRkBg8xD02URIJLvxuakd310xOqdcEy_wimb7zWMNM9OvGWZXGQg5XyWbmBwjH9LKz88TDHiA8g/MMaw7a-Kdp8vbl8xJpS_HXem9MgMsNELFvk-A7eZYyY),Midjourney,"a beautiful woman, instagram model holding a smartphone, with 5 beams of light shooting out of the screen",694
"Midjourney 🎨 fantasy, Product",metricsmule_A_treasure_chest_overflowing_with_glowing_prompt__befcd2f2-26a2-42b7-8fed-d811e613c14e_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/4CPQ7zTNZNbCh3pqcfUMJQ/VZtwn4BfI5ZPFKXCbukVrfvT7mFufKhASSYCTmQR4bG-EHwPxU28wzL8xWhD-99AjhqNNbxgIiqG-gKn7yqMqs5YK9FMAh-Om4UsdZBgwfcwa8KYCx7y-dVAhSmxafpVJ03MWN274y98VyvvZHQNxymgMSW-e9OCOjOdeLl9mk5DJK5XANBf51B-PJoxsrbuWAPyrVhGID1i7rEh1afyQBe7z1loleOSnSrHTnVH_8aqACenMJPXGJHPhckdCtiKaUoVW9ipMh54Jam1S_qXvA/JMC7APDi6wEZAWj2URhJFG4ZWvioxyAKdt4FsnpUoxI),Midjourney,A treasure chest overflowing with glowing prompt icons and tool symbols,695
"Midjourney 🎨 futuristic, Gradient",metricsmule_A_person_wearing_VR_goggles_surrounded_by_hologra_e6c69ead-2711-4901-bb12-0e55e67ff000_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/dHdztaoLRXydH15Bd1QdMA/hkCnepKcPCO5DBnxeJEoDYD-PT6yLs7K8k-kj5MtxovipQRkvY3pmaW3Ype9PXXGob8ejR3YO1H2Bbr8QpC1PxN7XifyMN0vJpvQwK42ndxHXaTLcOxH8-pMCNumZbcUZhzNJQnH5imILvNPyOlzpsmoVpWLjlHab54B7V054a85lP8h0CSYsG7EowPWl5WchC1f2rBWWeTqg4xkVhkq8tkeE3RPTNsNmZyrQAMnugic9CSlYrQbWCCrT8VxGxBZJYwGAE3zca9IsVO_Uvjwiw/nbxIWLLS8bj9J7PzXWDt7LMtAfh8SN2NwLWjFtJ_dh0),Midjourney,"A person wearing VR goggles, surrounded by holographic prompt windows",696
"Midjourney 🎨 futuristic, Fantasy",metricsmule_A_treasure_chest_overflowing_with_glowing_purple__2e88446f-890c-4420-a0ff-81574bcc82f5_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/x_Mg77OfUpBB_8vxueR6ww/MJ5IJDExS56LU3iuHFH1-xChOQcxQbdfQVV0usF--EbwWOVGQiGk5whFiajRRQMN6xEaYJev0CyEq0q7EgnkKgjY14nM59ZLZx-Vp0c5yqiuBS39l7rso-mdJftg4n2XbwPNxftsxtxEs3bwoQQBbikjlLdtIUUs6NtbEpVVSJroHdbS9NhBYHXxQ_l6miPGNi0qDV1GW1pysVBa51pjvlJdqLvtQSKWlA5t92bMeiLIA4NzfItysI83FKJCQ1gJ2PZL-SPAjkbrP58HLiubQw/egJ5Q_FBwoWJZZdXINvfVX2MKW065dViakJZ823EpEA),Midjourney,A treasure chest overflowing with glowing purple and blue gradient prompt icons and AI symbols,693
"Midjourney 🎨 Photorealistic, gradient, Person",metricsmule_A_YouTube_thumbnail_and_an_excited_beautiful_woma_898f63a1-f538-45d5-8bd2-1206ba0b0ff2_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/MASsY7Z8uJf_fMWfTwnr_Q/R6zlQ5CQR2hjOzmwBSQl9M-gSR-fKTBbOBFcNuwcn-Tw4C1wubQh6auqLHf4GMCP0nqgrncCHDsTYOTRL6jLHiSZ4Wxms-R5B2g15bV3XvSvuVUmM1Rx_QgNhZTgOH546zQWOvx8rqxHNXDguZJufNDq6xWRzF5ADoKOEvTKHQ15L_B0z_J_KgeqS7inn4CAp60cBNlJl6kjhMtn__CyJM0DnrBgIqd85gQwxFTMvQZeJrkfIb4r_465XzcwsPDBEMcZrcyurZ1hgsUxI1fs-Q/_JY59uTZsZFBc4fgszTRMRNzqsRfNHJoipk9kNigL9I),Midjourney,"A YouTube thumbnail and an excited, beautiful woman. The background is dark gradient purple and blue with white highlights on various color pops In the style of a futuristic tech company",692
"Midjourney 🎨 3D Render, Scenery, Architecture Photography",metricsmule_diarama_model_of_a_home_including_furnishing_and__e82f79ea-8d8c-491d-a811-3050178aa01c_0.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/37BVHoH5YsbftsHx_PQYRg/p-qPtc8qPN18p1nD3nDbnNJujLs-tHuBSsdR0wWqgYSOcpnxcWitjC-xnEPGNTdnAXJH1NJSFfyw9CoU14ZU0dbQwYeXpDgtsO_L7-VqhzWgy8RT4Cm8CmdS0qZEHitDoJ72sLTHklWyGKRbrD4OdZ51UVRn5qxpEQl4QrmLrqSvN-h3QkDIXxDJ2ils8egLc-n8m32Dx5jLNcgUO2smectQltzQYNJleyfWc7KZrOyF7rmHOs3GafIdgBvDYoaL-6HgR5xcFbcpKQEQCeNL0w/vREWaruzIng-Ua7uFYMMsp2S2RfjS5vSjAvrOl22pbo),Midjourney,"diarama model of a home including furnishing and people, technical drawing using pink and purple gradient, white background",691
"DALLE 🎨 scenery , 3D Render, Architecture Photography",DALL·E 2024-07-02 18.59.50 - Ultra realistic 3D render of a mini mega mansion interior. The design is sleek and contemporary with intricate details. The living room features plush.webp (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/opc9SqQniHoWudDGj4DtXw/ni0kkM1KfAUV6XCvTgAQRk5TvooUtw0Axpz4eFUQybz4jKHUyy08oT0XJ5ktMrZ0vc6cv1KsZStzygk5w2jq9f2SbywjZKb_7SLOR5R8rMUt3Dvya2PPUlQyldZ3Q5HI9iXLk3h64wt3gbMJUa2VgMJQdb9nb2T39odzVrzk9h-ZAl0-AYAH0AoqYnyevhFQWdzgC_Avv3gTKez3dNFPEe-vg-L0B-Nb3IPjPpYq6lCxG50VBF4RvyEnguV_GbDr-HHP3OUZJE-cUjHbWu2UosQuIUZ4Sqz0fS3mJxTjNhC_SESZ-iS-EKwI-76rbXFsnKa7L7nJDf7wce976KZ9ZJJfJFvpWE3uQtkq1b8UN0Y/RP1RzkMbBwu5XqJhfkvUM49C36fqVrRadTefEVHxbA8),DALLE,"Create an image of an ultra realistic mini mega mansion in 3d render format. The image will show the interior of the mansion, modern design and intricate details ",690
"Midjourney 🎨 scenery , 3D Render, Architecture Photography","metricsmule_modern_home_design_3d_render_architect_design_ren_bbcb4d85-ccfd-40f3-9a23-a13f2a0fb1c7_0.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/I1c8y2GfoS5PBMi4dIXhuA/6LutxEYqz4K3iMKc3sCkWDeFnKYNBadaZT7fp_rgAQBZLhS9R1J0BGYnMNBuj0Tv32GKjGWEgROKrZeeNR8wUeVuUKESQ4Mc9htLKataCgLlgWdazGrn7pLdH5Is3bjcJV7whESl4_I4zt8JLQOqEwccUSFkLdPekHk8-rHCVIWXuPnqYl8Q3WE5QO5Yt45DQLXEOCpRqm8S2AaDqF_Gbz_yTbk1er1_Jt0pvu8j35Q6dyq7MFZPjdMxpTICkJ4K3TxbwaSfU6g4vQSNiUwABA/JEqkx1YatBbgj3t11F23yTSviyZbxFcHAsGq_rNIRBE),metricsmule_modern_home_design_3d_render_architect_design_ren_bbcb4d85-ccfd-40f3-9a23-a13f2a0fb1c7_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/04TK-0PJmFtjbMSi7EOmAQ/51B3ho3CcaEIOV0m0njXRkI0p8LbfwnhYPGC-uWYbNnaUtOEwEhx8CsIZhAfcADMSyF4lKqVUj3whINQUey28NL4GLGcavcf9ZT5nqLQT1B43PUWpe5eXI8vrO1Xfsl1uBhN1iayZ5HOm_r-WkYTWda3AgjEsdXP_w8221VtmkcqQLYO6dfeWHnvHMZbZcUvUX8LsXM-IHlSL2227j3ENtQ8MXL4m9BTYUj-A9PwFkrSjJhOjFD9YY9TbadmecUIF_9rzupDdcldKDoIpgfuVw/OiP8ZVDD1liySBk2zvL3dr6fFAgYBh_AVLuHXpNs0Ec),metricsmule_modern_home_design_3d_render_architect_design_ren_bbcb4d85-ccfd-40f3-9a23-a13f2a0fb1c7_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/h2OY9g79WQuZoXoOCEQKtg/q40cOV5joesXafKWqbOTvr-ha9DO8zGKZGyFIRxO7g8fG0DdLkdIBuEUiRlVLoWF_7pF_4rSIKJ8ZKqiLJyUZma15gZAaxtUrQqDD6Ej-XrtBTXE5S3-hKeUjJdhCSOAIkrytMldzgPMGgKtf__BV_XI6n91VEKPTv_yf9tZk8lRLUTYA869fYYo0Xef-yc2wb0OnAiDlTpLWJgneDTTwJd6tM5m3PjT0ABblZT9fV0q3rShBhSM-7MJqK01xFK2sixPGUh1Hsw2k01sDfM6oA/zXUIvKrIs2Wk-aBWJ_pVkGjlzKMiVIijLZejZ7oxeWA)",Midjourney,"modern home design, 3d render, architect design render, white background",689
"Midjourney 🎨 Person, Photorealistic",metricsmule_An_Instagram_model_posed_gracefully_in_a_snowy_la_7c79f211-6b4e-450a-8963-85161eb6e3f2_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/yg-IECfK_WJ5jThwaDKpow/GD8tz5su2ajY1qNbJ6hRdI_NjhvlWvQxjjS_oe5GeyAYrxDqv9Afn6ba0_tyGaS7w4BfODO1KpPrDBNzJzAKj2KhD7x7sUowGBT9HvHvuuvX9OqZzXtP0wIpXLzruA_uSHF6a-8azzBwshmT6UPBITg-n2Bc7UGYrnFNKyqcxJNa-iUeBs7UWssTlnRHjjx1tgOdRHKtX2MFlkKubjt4W-26EuBGfZFzqzzIN-dip650T7Yri1AQ1WRGweIwXpFVUWbfHE5jNmAlVNKdPbRm9g/cPfhWRhvmXB-AwrP-y7xeTNtDlxJbF6FhOV9YvfNiL4),Midjourney,"An Instagram model posed gracefully in a snowy landscape, dressed in a luxurious winter coat and stylish accessories. Her cheeks are rosy from the cold, and her breath is visible in the crisp air. The soft, falling snowflakes add a magical touch to the scene. Photographed with a Sony A9 II, FE 135mm f/1.8 GM lens, and natural light to capture the serene, wintery ambiance",688
"FreePik 🎨 food, Photorealistic",pikaso_texttoimage_A-glass-of-dark-liquid-with-ice-cubes-a-slice-of-o.jpeg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/F8QeDdbXi1xjyX1z9RR6aw/X3tpoe2meaIOArSZmXGrnjTctMK3GCVt5npgVPW_Szwo7-cpHXcD_DlUn8S8gAOxINQhIsM8W8fMfs91xQvCvwrvp-IcwLQaP2fg7sneYL0jCc5JBokalR2sGlDWiGPXLuMwg484L7fSE_lfSTBI68eTrdObDm_ZAY9ikx2_EjnhjVNucgZky0b6vsDPUxw7qAEcESwTpU_cTfqg5FTdA8qeBIp6oTnmc35mIICaxm6PP4i95_tmH7uLb5kfxqYi/JPPyIAmfAEd_E85__fWKB2PhyTn9QmtW1p0mlrwgyFU),FreePik,"A glass of dark liquid with ice cubes, a slice of orange, and smoke rising from it, against a dark background",687
"Midjourney 🎨 Iluminescent, Animated, Gradient, Neon",metricsmule_full_body_shot_of_a_marble_sculpture_of_Hades_hol_d684f7ef-1aec-40db-b173-59caec9dbe1e_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/CWty3Hpf6mPP6pc5Ku-PMw/_G8TDJn49RaZ-Mm_2KVfd6o6n0UrNVEHDBseHxO0uFrA3cHSozh12lldz_8SrTNtRJQJ-7yKSrrA7nwnOSPNyBR36ndFlT7miEh19K6so7PXh6gDK5HlMSRzfUGSWKBZuUn4Cxi07watKyU3GyJPgSvSw2-ABrxgqd_NoNJOE67qI485mreoH6WhcjMp31FEwdFkxu-2jBU7U2TEpisBvnY_MAZfnu5-cdQzqgQGIYXWh8XtkXL6LRRLC3vBzyphSFhbsf5oTDqEQ9n5K4D_vg/mH2cuPiSLCyX9hv0KaKzCE1jkMvw9Rxi0JHfb0u8JKE),Midjourney,"full body shot of a marble sculpture of Hades holding a staff wearing hellish neon LED strips, hellscape city background,
",686
"Midjourney 🎨 Logo, Neon",metricsmule_e-sports_logo_of_a_cosmic_mule__neon_lightnings_s_4840a655-4f47-465b-956c-00b9cc736972_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/I3GfzjdnnUyQzqRQvoBxVA/J6-urUiFQDujk66dNvC2TTy_O90OnaG83jsfB9TqC8NcBR-LKXZ-AXFDq1Zn9kNvfSqurTmd2m8ePanqgTRy6QxzgzXKRk11mabmkVvNbB5vMZmUC7xH3nmVxQhJQM31LCt973GMOUTUvnHvIGxDHqOIt3y4fpaNSTBtWCJfP8Up4l2ABCd__RFzBPaqwnJnoQDoEptgdcnpQYdeDil-A9N0fbRmPGP5S870zyJSqUbz0v0mV8lnmpcJxp4nR8Ly0JnJ83BOBn8MbOAQOPaLNA/C5mBmdSjOqcxwAG9JQFnyH7i6uES53kV50xecTinPbg),Midjourney,"e-sports logo of a cosmic mule | neon lightnings surrounding | black background
",685
"Midjourney 🎨 Superhero, Photorealistic",metricsmule_Captain_America_as_an_epic_black_and_white_painti_fb821cf9-ce7c-4ecc-bfd5-61afc5e83bc5_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/tahcjwg-LADBh8PTMjeDow/V_LwZg5j8j2O3omNctr6y1ENsF81TsaPOE5J7MofLyVzRykmAHo6z0lf1uMDlAwY-4xS9i3YwZ13rcP6pQBHYH4J0C06VLMbvap_VIZ9aUozBCqJ2lUdbyGaxp64f3OUE5CJxcMke1iexm5oxpyYkYUB1kVlORhkPGqrIYz8FM1zdK_IhY0HKMlwJpZLf7sQ5ApDPCgxC-w6hrNqshSqVmFHeY-aIqMSy_Mrfq1E3ylXT1C0dgrbwvqJcQSGqN8KwqTLIsFvMEgF6Fr9O7eVWQ/xeNpGA053Gg3ntL-amRZzdeSP6_NqPDST1AhYVt2eIM),Midjourney,"Captain America as an epic black and white painting with red, white, and blue highlights, ultra detailed, cinematic lighting. The epic scene is done in the style of splatter art, dynamic pose
",684
"Midjourney 🎨 Animated, Pixar ",metricsmule_Adorable_3d_clay_kawaii_baby_Pikachu_muted_pastel_2f60da58-47cd-4169-98a5-4ffad2f89802_0.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/-nEHg96_SFoY9sdU9xGSUQ/HFXPN0xYSJfNQb2sr8i7rA7JGXWmi63ZlHH8PsG6tnvacmf9EL4I7bqudG8pqZTJfSM3zBSIFz5VXBEXO7c0JJQN7Qpe4WQP4IIx0k0odh4nGYWbeNXXDQSIgRKb_1pbw2q1GNO_mtzgQiZwxAnplso8p8EDD0988MDGHFnzU6PmqBf_8N_Bb11613cqtVBTQy4Kv6qUaQAaNl4xSX-n1UlFYJ6TxLBLtU-3xV8e3tlU2phkXs7XqeWP4KL4nauGqMcd8quQvgU7Qd2zLZBSxQ/jwY5j2nanodmG_431EMwQC8jrqmehnDCrcAScJqtvQk),Midjourney,"Adorable 3d clay kawaii baby Pikachu muted pastels, Blender 3d, matte background with subtle gradients",683
